Name,age,country,category,image,marital_status,Education,net_worth,Degree,first_name,Gender
Kim Cattrall,64.0,Others,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/06/kim-cattrall.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced, London Academy of Music and Dramatic Art ,75,Graduate,Kim,female
Kelly Ripa,50.0,Others,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/05/kelly-ripa.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Camden County Community College (New Jersey),75,Graduate,Kelly,female
Courteney Cox,56.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Courteney-Cox-as-Jules-cougar-town-7820348-1920-2560.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced," Mount Vernon College in Washington, D.C.",75,Graduate,Courteney,female
Angela Lansbury,95.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Angela-Lansbury.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Webber Douglas School of Singing and Dramatic Art, South Hampstead High School",70,high school,Angela,female
Linda Hamilton,64.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/09/Linda-Hamilton.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Washington College,70,Graduate,Linda,female
Jane Seymour,70.0,United kingdom,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/07/Jane-Seymour.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Arts Educational School,70,Graduate,Jane,female
Halle Berry,54.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/06/halle-berry.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Cuyahoga Community College,Bedford High School",70,Graduate,Halle,female
Kristen Stewart,31.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Kristen-Stewart-Hot-Free-Wallpaper-Hd-2013-Robert-Pattinson-3D.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,education by correspondence,70,Graduate,Kristen,female
Mila Kunis,37.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/01/Mila-Kunis.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,UCLA & Loyola Marymount University,65,Post Graduate,Mila,female
Debbie Reynolds,89.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/images187.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Burbank High School ,60,high school,Debbie,female
Kristin Davis,56.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/07/Kristin-Davis.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Rutgers University,  Mason Gross School of the Arts, A.C. Flora High School",60,Post Graduate,Kristin,female
Cynthia Nixon,55.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2018/06/Cynthia-Nixon.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Barnard College, Hunter College High School",60,Graduate,Cynthia,female
Ellen Barkin,66.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/07/ellen-barkin.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Hunter College,60,Graduate,Ellen,female
Sharon Stone,63.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/05/Sharon-Stone-2011.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Saegertown High School, Edinboro University",60,Post Graduate,Sharon,female
Robin Wright,55.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/10/rw1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"La Jolla High School, Taft High School ",60,high school,Robin,male
Emma Watson,31.0,United kingdom,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Emma-Watson2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Brown University, Headington School, Oxford",60,Post Graduate,Emma,female
Lisa Kudrow,57.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/03/Lisa_Kudrow.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Vassar College,60,Graduate,Lisa,female
Phylicia Rashad,72.0,Others,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Phylicia-Rashad.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,55,high school,Phylicia,female
Helen Hunt,57.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Helen-Hunt.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,in a relationship,"University of California, Los Angeles",55,Post Graduate,Helen,female
Kaley Cuoco,35.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/01/Kaley-Cuoco.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Homeschool,55,Graduate,Kaley,female
Sally Field,74.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/04/Sally-Field.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Birmingham High School,55,high school,Sally,female
Penelope Cruz,46.0,Spain,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/SGY-013486.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Spain's National Conservatory, Cristina Rota's New York School",55,Graduate,Penelope,female
Natalie Portman,39.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/Natalie-Portman.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Harvard University,54,Post Graduate,Natalie,female
