Name,age,country,category,image,marital_status,Education,net_worth,Degree
Reggie Miller,55,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Reggie-Miller2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Marita Stavrou),"University of California, Los Angeles",$90 Million,Graduate
David Robinson,55,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/David-Robinson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Valerie Hoggatt),"United States Naval Academy, Osbourn Park High School",$90 Million,high school
Stephen Curry,31,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/01/Stephen-Curry.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Ayesha Alexander),Davidson College,$90 Million,Graduate
Patrick Ewing,58,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Patrick-Ewing-wants-a-return-to-New-York-Knicks-as-a-head-coach-NBA-Update-90535.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Rita Williams-Ewing ),"Georgetown University, Cambridge Rindge and Latin School ",$85 Million,Graduate
Carmelo Anthony,36,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/anthony2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Alani Vasquez),Syracuse University,$85 Million,Graduate
Nene Hilario,37,Brazil,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/03/Nene-Hilario.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Lauren Prothe),,$81.9 Million,
Juwan Howard,48,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Juwan-Howard2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Jenine Wardally),"University of Michigan, Chicago Vocational Career Academy",$80 Million,Graduate
James Harden,31,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/James-Harden2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,Arizona State University,$80 Million,Graduate
Gerald Wallace,37,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/08/Gerald-Wallace.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Warneisha),University of Alabama,$80 Million,Graduate
Pat Riley,76,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2022/03/Megan-1.png?q=50&fit=crop&w=320&h=160&dpr=1.5 ,Married (Chris Riley)," University of Kentucky, Schenectady High School",$80 Million,Graduate
Tracy McGrady,41,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Tracy-McGrady2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Clerenda McGrady),"Mt. Zion Christian Academy, Auburndale High School",$75 Million,high school
Kevin Love,32,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Kevin-Love2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,University of California - Los Angeles,$75 Million,Graduate
Rasheed Wallace,46,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/rasheed-wallace2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Fatima Wallace),University of North Carolina at Chapel Hill,$75 Million,Graduate
Dikembe Mutombo,54,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Dikembe-Mutombo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Rose),Georgetown University,$75 Million,Graduate
Karl Malone,57,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Karl-Malone.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Kay Kinsley),Louisiana Tech University,$75 Million,Graduate
Jason Kidd,48,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Jason-Kidd2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Porschla Coleman ),"St. Joseph Notre Dame, University of California Berkeley",$73 Million,Graduate
