Name,age,country,category,image,marital_status,Education,net_worth,Degree,age_bucket,first_name,Gender
Sofia Vergara,48.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/05/sofia-vergara.jpeg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Colegio Marymount,160,Graduate,2,Sofia,female
Miley Cyrus,27.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2018/12/Miley-Cyrus.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Heritage Elementary School and Options for Youth Charter Schools,160,Graduate,1,Miley,others
Angelina Jolie,45.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2021/04/Angelina-Jolie-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Beverly Hills High School,160,high school,2,Angelina,female
Demi Moore,58.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2014/04/DEMI-MOORE-at-Target-Presents-AFIs-Night-at-the-Movies-in-Hollywood-5.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Fairfax High School,150,high school,2,Demi,female
Jessica Szohr,36.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/js3.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Menomonee Falls High School ,145,high school,1,Jessica,female
Audrey Tautou,44.0,France,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/09/at1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,, Institut Catholique de Paris,145,Graduate,2,Audrey,female
Frances Fisher,68.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/09/Frances-fisher-05.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Syracuse University,145,,3,Frances,female
Scarlett Johansson,36.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/04/Scarlett-Johansson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Professional Children's School ,140,Graduate,1,Scarlett,female
Jennifer Lawrence,30.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/03/Jennifer_Lawrence.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Kammerer Middle School,135,Graduate,1,Jennifer,female
Drew Barrymore,46.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/04/Drew_Barrymore.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,125,Graduate,2,Drew,male
Sandra Bullock,56.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2014/05/Sandra-Bullock-Wallpapers-.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Unknown,125,Graduate,2,Sandra,female
Amy Irving,67.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/Amy-Irving.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,London Academy of Music and Dramatic Art,120,Graduate,3,Amy,female
Jane Fonda,83.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/05/Jane_Fonda1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Vassar College,120,Graduate,4,Jane,female
Nicole Kidman,53.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Nicole-Kidman7.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married," Victorian College of the Arts,  Australian Theatre for Young People,  Phillip Street Theatre",120,Graduate,2,Nicole,female
Charlize Theron,44.0,South africa,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Charlize-Theron2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,National School of the Arts,110,Graduate,2,Charlize,female
Rosie O'Donnell,59.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/07/Rosie-ODonnell.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Boston University (drop out),100,Graduate,2,Rosie,female
Cameron Diaz,48.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/04/Cameron-Diaz.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,, Long Beach Polytechnic High School,100,high school,2,Cameron,male
Kate Winslet,45.0,United kingdom,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/03/kate_winslet1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Redroofs Theatre School,90,Graduate,2,Kate,female
Sarah Jessica Parker,56.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/03/sarah-jessica-parker.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Hollywood High School,Dwight Morrow High School",90,high school,2,Sarah,female
Salma Hayek,54.0,,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/08/salma-hayek.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Universidad Iberoamericanafg,85,Graduate,2,Salma,female
Michelle Pfeiffer,62.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Michelle-Pfeiffer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Golden West College, Fountain Valley High School",80,Graduate,3,Michelle,female
Roseanne Barr,67.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Roseanne-Barr.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Syracuse University,80,,3,Roseanne,female
Reese Witherspoon,45.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/reesewitherspoon300.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Stanford University,80,Graduate,2,Reese,female
Jaclyn Smith,75.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Jaclyn_Smith.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married, Trinity University,75,Graduate,3,Jaclyn,female
Kim Cattrall,64.0,,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/06/kim-cattrall.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced, London Academy of Music and Dramatic Art ,75,Graduate,3,Kim,female
Kelly Ripa,50.0,,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/05/kelly-ripa.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Camden County Community College (New Jersey),75,Graduate,2,Kelly,female
Courteney Cox,56.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Courteney-Cox-as-Jules-cougar-town-7820348-1920-2560.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced," Mount Vernon College in Washington, D.C.",75,Graduate,2,Courteney,female
Angela Lansbury,95.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Angela-Lansbury.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Webber Douglas School of Singing and Dramatic Art, South Hampstead High School",70,high school,4,Angela,female
Linda Hamilton,64.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/09/Linda-Hamilton.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Washington College,70,Graduate,3,Linda,female
Jane Seymour,70.0,United kingdom,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/07/Jane-Seymour.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Arts Educational School,70,Graduate,3,Jane,female
Halle Berry,54.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/06/halle-berry.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Cuyahoga Community College,Bedford High School",70,Graduate,2,Halle,female
Kristen Stewart,31.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Kristen-Stewart-Hot-Free-Wallpaper-Hd-2013-Robert-Pattinson-3D.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,education by correspondence,70,Graduate,1,Kristen,female
Mila Kunis,37.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/01/Mila-Kunis.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,UCLA & Loyola Marymount University,65,Graduate,1,Mila,female
Debbie Reynolds,89.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/images187.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Burbank High School ,60,high school,4,Debbie,female
Kristin Davis,56.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/07/Kristin-Davis.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Rutgers University,  Mason Gross School of the Arts, A.C. Flora High School",60,Graduate,2,Kristin,female
Cynthia Nixon,55.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2018/06/Cynthia-Nixon.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Barnard College, Hunter College High School",60,Graduate,2,Cynthia,female
Ellen Barkin,66.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/07/ellen-barkin.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Hunter College,60,Graduate,3,Ellen,female
Sharon Stone,63.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/05/Sharon-Stone-2011.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Saegertown High School, Edinboro University",60,Graduate,3,Sharon,female
Robin Wright,55.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/10/rw1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"La Jolla High School, Taft High School ",60,high school,2,Robin,male
Emma Watson,31.0,United kingdom,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Emma-Watson2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Brown University, Headington School, Oxford",60,Graduate,1,Emma,female
Lisa Kudrow,57.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/03/Lisa_Kudrow.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Vassar College,60,Graduate,2,Lisa,female
Phylicia Rashad,72.0,,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Phylicia-Rashad.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,,55,,3,Phylicia,female
Helen Hunt,57.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Helen-Hunt.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,in a relationship,"University of California, Los Angeles",55,Graduate,2,Helen,female
Kaley Cuoco,35.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/01/Kaley-Cuoco.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Homeschool,55,Graduate,1,Kaley,female
Sally Field,74.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/04/Sally-Field.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Birmingham High School,55,high school,3,Sally,female
Penelope Cruz,46.0,Spain,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/SGY-013486.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Spain's National Conservatory, Cristina Rota's New York School",55,Graduate,2,Penelope,female
Natalie Portman,39.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/Natalie-Portman.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Harvard University,54,Graduate,1,Natalie,female
Raven-Symone,35.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/09/Raven-Symone.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,Park School,53,Graduate,1,Raven-Symone,others
Jane Leeves,59.0,United kingdom,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/06/jane-leeves1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University College London,52,,2,Jane,female
Julianne Moore,60.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Julianne-Moore.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Boston University, Frankfurt American High School",50,Graduate,2,Julianne,female
Susan Sarandon,74.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/01/Susan-Sarandon.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Edison High School, Catholic University of America",50,Graduate,3,Susan,female
Helen Mirren,75.0,United kingdom,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/08/Helen-Mirren.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,New College of Speech and Drama,50,Graduate,3,Helen,female
Bo Derek,64.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/07/bo-derek-picture.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,in a relationship,George S. Patton Continuation School,50,Graduate,3,Bo,male
Alicia Witt,44.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/11/aw1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,Syracuse University,50,,2,Alicia,female
Twiggy,71.0,United kingdom,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/t11.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Brondesbury and Kilburn High School,50,high school,3,Twiggy,others
Mariska Hargitay,57.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/05/Mariska-Hargitay.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of California Los Angeles,50,Graduate,2,Mariska,female
Teri Hatcher,56.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/teri-hatcher.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,De Anza College,50,Graduate,2,Teri,female
Keira Knightley,36.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/superbe-Keira-Knightley.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married, London Academy of Music and Dramatic Art,50,Graduate,1,Keira,female
Selena Gomez,27.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/selena-gomez1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,High school diploma (Home School),50,Graduate,1,Selena,female
Annette Bening,62.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/images-114.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Patrick Henry High School, San Diego Mesa College, San Francisco State University ",48,Graduate,3,Annette,female
Patty Hearst,67.0,,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Patty-Hearst.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Santa Catalina School for Girls, University of California, Berkeley,   Crystal Springs Uplands School",45,Graduate,3,Patty,female
Monica Bellucci,56.0,Italy,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/01/Monica-Bellucci1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,University of Perugia,45,Graduate,2,Monica,female
Susan Lucci,74.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Susan-Lucci.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Marymount College, Garden City High School",45,Graduate,3,Susan,female
Blythe Danner,78.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/Danner.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Bard College,45,Graduate,3,Blythe,female
Uma Thurman,50.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/Uma-Thurman-by-Tom-Munro.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Northfield Mount Hermon School,45,Graduate,2,Uma,female
Penny Marshall,78.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2018/12/Penny-Marshall.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,University of New Mexico,45,Graduate,3,Penny,female
Ariana Grande,26.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/07/Ariana-Grande.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Pine Crest School, North Broward Preparatory School",45,Graduate,1,Ariana,female
Cate Blanchett,51.0,Australia,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/01/Cate-Blanchett.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Melbourne,45,Graduate,2,Cate,female
Whoopi Goldberg,65.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/06/whoopi_goldberg_stream.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Washington Irving High School,45,high school,3,Whoopi,others
Meg Ryan,59.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/05/meg-ryan.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,New York University,45,Graduate,2,Meg,female
Meryl Streep,71.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/04/Meryl_Streep.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Yale School of Drama, Vassar College",45,Graduate,3,Meryl,female
Catherine Zeta-Jones,51.0,United kingdom,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2014/04/catherine-zeta-jones-105229_w1000.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,The Arts Educational Schools ,45,Graduate,2,Catherine,female
Tina Fey,50.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/04/tina-fey.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Virginia ,45,Graduate,2,Tina,female
Renee Zellweger,50.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/04/93919091-Renee-Zellweger_0.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Texas at Austin,45,Graduate,2,Renee,female
Marisa Tomei,56.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/03/Marisa-Tomei2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,," Boston University, Edward R. Murrow High School",43,Graduate,2,Marisa,female
Catherine Oxenberg,59.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/06/Catherine-Oxenberg1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Harvard University ,42,Graduate,2,Catherine,female
Kiera Chaplin,38.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/05/Kiera-Chaplin2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,University College London,42,Graduate,1,Kiera,female
Patricia Heaton,63.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/Patricia-Heaton.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Ohio State University,40,Graduate,3,Patricia,female
Milla Jovovich,44.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/01/Milla-Jovovich.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Professional School of Actors in California,40,Graduate,2,Milla,female
Ellen Pompeo,50.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/04/Ellen-Pompeo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Everett High School,40,high school,2,Ellen,female
Jennifer Garner,48.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/05/Jennifer_Garner.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Denison University,40,Graduate,2,Jennifer,female
Zsa Zsa Gabor,104.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/08/Zsa-Zsa-Gabor-profile.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Madame Subilia,40,Graduate,4,Zsa,others
Rene Russo,67.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/01/Rene-Russo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Burroughs High School,40,high school,3,Rene,male
Elizabeth Montgomery,88.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/10/em1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,American Academy of Dramatic Arts,40,Graduate,4,Elizabeth,female
Michelle Yeoh,58.0,,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/my1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Royal Academy of Dance,40,Graduate,2,Michelle,female
Edie Falco,57.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/01/Edie-Falco.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,State University of New York at Purchase,40,Graduate,2,Edie,female
Geena Davis,65.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Geena-Davis.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Boston University, New England College",38,Graduate,3,Geena,female
Kate Hudson,41.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/Kate-Hudson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Santa Monica College Prep School,38,Graduate,2,Kate,female
Kim Basinger,67.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/images146.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Clarke Central High School,36,high school,3,Kim,female
Marlo Thomas,83.0,,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Marlo-Thomas.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,35,,4,Marlo,female
Merv Griffin,95.0,United states,actors,https://static2.therichestimages.com/wordpress/wp-content/uploads/Merv-Griffin.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,San Mateo High School,1000.0,high school,4,Merv,others
Shahrukh Khan,55.0,India,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/SK.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"BEc/Hansraj College, Jamia Millia Islamia",700,Graduate,2,Shahrukh,others
Tom Cruise,58.0,United states,actors,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/11/shutterstock_104835566.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Franciscan Seminary, Henry Munro Middle School, Robert Hopkins Public School ",550,Graduate,2,Tom,male
George Clooney,59.0,United states,actors,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/05/George-Clooney.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Northern Kentucky University,500,Graduate,2,George,male
Amitabh Bachchan,77.0,India,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/01/Amitabh-Bachchan.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Sherwood College, Kirori Mal College, Delhi University",425,Graduate,3,Amitabh,male
Mel Gibson,65.0,Australia,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/05/mel_gibson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,St Leo's Catholic College,425,Graduate,3,Mel,female
Will Smith,52.0,United states,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/02/UntitledThings-That-Make-Will-Smiths-42-Million-Home-Fit-For-A-Fresh-Prince.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Overbrook High School of Philadelphia,420,high school,2,Will,male
Adam Sandler,54.0,United states,actors,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/01/Adam-Sandler-1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,New York University,420,Graduate,2,Adam,male
Jack Nicholson,83.0,United states,actors,https://static2.therichestimages.com/wordpress/wp-content/uploads/jn75.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Actors Studio,400,Graduate,4,Jack,male
Sylvester Stallone,74.0,United states,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/06/sylvester-stallone.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Miami,400,Graduate,3,Sylvester,male
Jackie Chan,67.0,,actors,https://static2.therichestimages.com/wordpress/wp-content/uploads/2014/03/344225_jackie-chan_dzheki-chan_chyen_3500x2356_www.GdeFon.ru_.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Dickson College, China Academy of Drama, Nah-Hwa Primary School",395,Graduate,3,Jackie,female
